Case_ID,Activity,timestamp
declaration 100000,Declaration SUBMITTED by EMPLOYEE,2018/01/30 08:20:07
declaration 100000,Declaration APPROVED by ADMINISTRATION,2018/02/07 08:58:46
declaration 100000,Declaration FINAL_APPROVED by SUPERVISOR,2018/02/08 09:59:05
declaration 100000,Request Payment,2018/02/09 11:42:49
declaration 100000,Payment Handled,2018/02/12 16:31:20
declaration 100005,Declaration SUBMITTED by EMPLOYEE,2018/01/30 08:38:54
declaration 100005,Declaration APPROVED by ADMINISTRATION,2018/01/30 08:38:57
declaration 100005,Declaration FINAL_APPROVED by SUPERVISOR,2018/01/30 09:04:10
declaration 100005,Request Payment,2018/01/31 11:45:18
declaration 100005,Payment Handled,2018/02/01 16:31:17
declaration 100010,Declaration SUBMITTED by EMPLOYEE,2018/01/30 08:43:21
declaration 100010,Declaration APPROVED by ADMINISTRATION,2018/01/30 08:43:23
declaration 100010,Declaration FINAL_APPROVED by SUPERVISOR,2018/01/30 09:03:19
declaration 100010,Request Payment,2018/01/31 11:45:13
declaration 100010,Payment Handled,2018/02/01 16:31:17
declaration 100015,Declaration SUBMITTED by EMPLOYEE,2018/01/30 12:06:43
declaration 100015,Declaration APPROVED by ADMINISTRATION,2018/01/30 12:06:46
declaration 100015,Declaration APPROVED by BUDGET OWNER,2018/01/31 13:30:18
declaration 100015,Declaration FINAL_APPROVED by SUPERVISOR,2018/02/01 09:54:22
declaration 100015,Request Payment,2018/02/02 07:22:46
declaration 100015,Payment Handled,2018/02/05 16:31:02
declaration 100021,Declaration SUBMITTED by EMPLOYEE,2018/01/31 10:05:55
declaration 100021,Declaration APPROVED by ADMINISTRATION,2018/01/31 10:10:56
declaration 100021,Declaration APPROVED by BUDGET OWNER,2018/01/31 12:23:35
declaration 100021,Declaration FINAL_APPROVED by SUPERVISOR,2018/02/01 12:26:04
declaration 100021,Request Payment,2018/02/08 11:15:26
declaration 100021,Payment Handled,2018/02/12 16:31:20
declaration 100027,Declaration SUBMITTED by EMPLOYEE,2018/02/01 08:20:56
declaration 100027,Declaration APPROVED by ADMINISTRATION,2018/02/01 08:26:22
declaration 100027,Declaration FINAL_APPROVED by SUPERVISOR,2018/02/05 07:11:45
declaration 100027,Request Payment,2018/02/08 10:40:21
declaration 100027,Payment Handled,2018/02/12 16:31:20
declaration 100032,Declaration SUBMITTED by EMPLOYEE,2018/02/01 10:34:07
declaration 100032,Declaration APPROVED by ADMINISTRATION,2018/02/01 10:34:29
declaration 100032,Declaration FINAL_APPROVED by SUPERVISOR,2018/02/02 12:16:17
declaration 100032,Request Payment,2018/02/06 07:29:34
declaration 100032,Payment Handled,2018/02/08 16:31:10
declaration 100037,Declaration SUBMITTED by EMPLOYEE,2018/02/01 13:16:11
declaration 100037,Declaration APPROVED by ADMINISTRATION,2018/02/01 13:17:38
declaration 100037,Declaration FINAL_APPROVED by SUPERVISOR,2018/02/01 15:47:22
declaration 100037,Request Payment,2018/02/06 20:17:25
declaration 100037,Payment Handled,2018/02/08 16:31:10
declaration 100042,Declaration SUBMITTED by EMPLOYEE,2018/04/20 11:55:22
declaration 100042,Declaration APPROVED by ADMINISTRATION,2018/04/20 11:55:29
declaration 100042,Declaration APPROVED by BUDGET OWNER,2018/04/23 09:20:42
declaration 100042,Declaration FINAL_APPROVED by SUPERVISOR,2018/04/30 03:15:52
declaration 100042,Request Payment,2018/05/01 05:55:03
declaration 100042,Payment Handled,2018/05/03 15:31:15
declaration 100048,Declaration SUBMITTED by EMPLOYEE,2018/04/20 12:05:14
declaration 100048,Declaration APPROVED by ADMINISTRATION,2018/04/20 12:08:14
declaration 100048,Declaration FINAL_APPROVED by SUPERVISOR,2018/04/20 12:52:32
declaration 100048,Request Payment,2018/04/21 09:11:45
declaration 100048,Payment Handled,2018/04/26 15:30:51
declaration 100053,Declaration SUBMITTED by EMPLOYEE,2018/04/20 12:13:39
declaration 100053,Declaration APPROVED by ADMINISTRATION,2018/04/20 12:13:46
declaration 100053,Declaration APPROVED by BUDGET OWNER,2018/04/20 12:41:34
declaration 100053,Declaration FINAL_APPROVED by SUPERVISOR,2018/04/27 03:15:43
declaration 100053,Request Payment,2018/07/10 15:04:56
declaration 100053,Payment Handled,2018/07/12 15:31:18
