Case_ID,Activity,timestamp
Case 10,Assign seriousness,2010/02/10 08:50:20
Case 10,Take in charge ticket,2010/03/19 08:47:06
Case 10,Resolve ticket,2010/03/19 08:47:13
Case 10,Closed,2010/04/03 07:47:38
Case 1000,Assign seriousness,2010/01/21 08:53:28
Case 1000,Assign seriousness,2010/01/21 08:53:34
Case 1000,Take in charge ticket,2010/01/21 08:53:40
Case 1000,Resolve ticket,2010/01/26 14:06:53
Case 1000,Closed,2010/03/06 09:00:57
Case 1002,Assign seriousness,2010/08/25 10:36:10
Case 1002,Take in charge ticket,2010/08/27 07:34:45
Case 1002,Resolve ticket,2010/08/27 08:42:25
Case 1002,Closed,2010/09/25 10:40:32
Case 1003,Assign seriousness,2010/12/23 11:23:52
Case 1003,Take in charge ticket,2011/01/11 07:55:50
Case 1003,Resolve ticket,2011/01/20 10:59:03
Case 1003,Closed,2011/02/04 10:59:20
Case 1004,Assign seriousness,2011/09/21 07:09:20
Case 1004,Take in charge ticket,2011/09/26 08:52:05
Case 1004,Resolve ticket,2011/09/27 10:29:02
Case 1004,Closed,2011/10/22 07:10:49
Case 1005,Assign seriousness,2010/12/22 08:35:14
Case 1005,Take in charge ticket,2010/12/22 08:49:10
Case 1005,Resolve ticket,2011/01/13 14:26:36
Case 1005,Closed,2011/02/18 08:40:43
Case 1006,Assign seriousness,2010/01/22 11:09:40
Case 1006,Take in charge ticket,2010/01/22 11:09:51
Case 1006,Resolve ticket,2010/01/22 11:09:59
Case 1006,Closed,2010/03/11 11:10:33
Case 1008,Assign seriousness,2011/10/25 14:35:19
Case 1008,Take in charge ticket,2011/10/26 07:19:46
Case 1008,Resolve ticket,2011/11/03 09:37:15
Case 1008,Closed,2011/12/08 15:40:25
Case 101,Insert ticket,2010/06/18 13:47:15
Case 101,Assign seriousness,2010/06/18 14:18:15
Case 101,Take in charge ticket,2010/06/29 07:35:47
Case 101,Resolve ticket,2010/06/29 08:33:07
Case 101,Closed,2010/08/05 13:50:24
Case 1011,Insert ticket,2011/09/06 15:37:27
Case 1011,Assign seriousness,2011/09/06 15:44:32
